时间,系统总CPU%,可用内存MB,后端CPU%,后端内存MB,JMeterCPU%,JMeter内存MB,MySQLCPU%,MySQL内存MB,DB连接数,DB活跃连接
10:52:16,19,3835,0,623.1,0,311.6,0,38.8,1,1
10:52:18,8,3836,0,623.1,0,311.6,0,39.0,1,1
10:52:20,9,3832,0,623.1,0,311.6,0,39.0,1,1
10:52:22,9,3845,0,623.1,0,311.6,0,39.0,1,1
10:52:24,6,3847,0,623.1,0,311.6,0,39.0,1,1
10:52:27,8,3847,0,623.1,0,311.6,0,39.0,1,1
10:52:29,10,3847,0,623.1,0,311.6,0,39.0,1,1
10:52:31,14,3815,0,623.1,0,311.6,0,39.0,1,1
10:52:33,15,3824,0,623.1,0,311.6,0,39.0,1,1
10:52:35,22,3802,0,623.1,0,311.6,0,39.0,1,1
10:52:37,14,3834,0,623.1,0,311.6,0,39.0,1,1
10:52:39,15,3867,0,623.1,0,311.6,0,39.0,1,1
10:52:41,8,3893,0,623.1,0,311.6,0,39.0,1,1
10:52:43,11,3884,0,623.1,0,311.6,0,39.0,1,1
10:52:45,8,3882,0,623.1,0,311.6,0,39.0,1,1
10:52:47,5,3883,0,623.1,0,311.6,0,39.0,1,1
10:52:49,8,3881,0,623.1,0,311.6,0,39.0,1,1
10:52:51,7,3883,0,623.1,0,311.6,0,39.0,1,1
10:52:53,7,3882,0,623.1,0,311.6,0,39.0,1,1
10:52:55,4,3881,0,623.8,0,311.6,0,39.0,1,1
10:52:57,8,3819,0,624.9,0,87.3,0,39.0,1,1
10:53:00,25,3686,0,640.0,0,197.2,0,39.1,3,1
10:53:02,40,3645,0,673.0,0,198.2,0,40.0,6,1
10:53:04,65,3630,0,713.2,0,184.6,0,40.5,7,1
10:53:06,78,3562,0,767.2,0,189.6,0,41.1,8,1
10:53:08,76,3529,0,807.4,0,187.2,0,41.6,8,1
10:53:10,79,3467,0,855.7,0,193.5,0,41.8,8,1
10:53:12,72,3467,0,858.6,0,191.2,0,42.0,8,1
10:53:14,74,3466,0,861.0,0,188.9,0,42.0,8,1
10:53:16,71,3484,0,837.9,0,190.5,0,42.3,8,1
10:53:18,71,3475,0,850.1,0,189.9,0,42.5,8,1
10:53:20,73,3474,0,852.8,0,190.2,0,42.5,8,1
10:53:22,77,3469,0,858.2,0,190.2,0,42.5,8,1
10:53:24,78,3457,0,863.5,0,194.9,0,42.6,8,1
10:53:26,79,3446,0,882.6,0,192.1,0,42.6,8,1
10:53:28,77,3329,0,919.4,0,188.7,0,42.6,8,1
10:53:31,14,3836,0,919.7,0,311.6,0,42.7,8,1
10:53:33,12,3804,0,919.7,0,311.6,0,42.7,8,1
10:53:35,7,3816,0,919.7,0,311.6,0,42.7,8,1
10:53:37,11,3809,0,919.7,0,311.6,0,42.7,8,1
10:53:39,11,3816,0,919.7,0,311.6,0,42.7,8,1
10:53:41,12,3814,0,919.7,0,311.6,0,42.7,8,1
10:53:43,10,3815,0,919.7,0,311.6,0,42.7,8,1
10:53:45,7,3814,0,919.7,0,311.6,0,42.7,8,1
10:53:47,13,3819,0,919.7,0,311.6,0,42.7,8,1
10:53:49,11,3813,0,919.7,0,311.6,0,42.7,8,1
10:53:51,6,3810,0,919.7,0,311.6,0,42.7,8,1
10:53:53,5,3806,0,919.7,0,311.6,0,42.7,8,1
10:53:55,9,3805,0,919.7,0,311.6,0,42.7,8,1
10:53:57,7,3810,0,919.7,0,311.6,0,42.7,8,1
10:53:59,7,3804,0,919.7,0,311.6,0,42.7,8,1
10:54:02,8,3804,0,919.7,0,311.6,0,42.7,8,1
10:54:04,9,3801,0,919.7,0,311.6,0,42.7,8,1
10:54:06,7,3801,0,919.7,0,311.6,0,42.7,8,1
10:54:08,6,3802,0,919.7,0,311.6,0,42.7,8,1
10:54:10,13,3803,0,919.7,0,311.6,0,42.7,8,1
10:54:12,12,3803,0,919.7,0,311.6,0,42.7,8,1
10:54:14,8,3804,0,919.7,0,311.6,0,42.7,8,1
10:54:16,10,3802,0,919.7,0,311.6,0,42.7,8,1
10:54:18,12,3794,0,919.7,0,311.6,0,42.7,8,1
10:54:20,24,3618,0,929.0,0,311.6,0,42.7,8,1
10:54:22,69,3612,0,931.4,0,311.6,0,42.7,8,1
10:54:24,100,3619,0,932.5,0,311.6,0,42.7,8,1
10:54:26,100,3601,0,949.2,0,311.6,0,43.1,9,1
10:54:28,100,3603,0,949.5,0,311.6,0,43.2,9,1
10:54:31,100,3656,0,882.3,0,311.6,0,43.2,9,1
10:54:33,100,3645,0,901.8,0,311.6,0,43.2,9,1
10:54:35,100,3598,0,937.7,0,311.6,0,43.4,9,1
10:54:37,100,3604,0,938.6,0,311.6,0,43.4,9,1
10:54:39,100,3606,0,940.4,0,311.6,0,43.4,9,1
10:54:41,100,3603,0,940.8,0,311.6,0,43.5,9,1
10:54:43,100,3598,0,948.4,0,311.6,0,43.6,9,1
10:54:45,100,3594,0,954.4,0,311.6,0,43.7,10,1
10:54:47,100,3595,0,955.1,0,311.6,0,43.7,10,1
10:54:49,100,3579,0,970.7,0,311.6,0,43.8,12,1
10:54:52,100,3582,0,972.8,0,311.6,0,43.9,12,1
10:54:54,100,3582,0,975.2,0,311.6,0,44.1,13,1
10:54:56,100,3586,0,975.3,0,311.6,0,44.2,13,1
10:54:58,100,3584,0,975.3,0,311.6,0,44.3,13,1
10:55:00,100,3593,0,975.4,0,311.6,0,44.4,13,1
10:55:02,100,3591,0,976.6,0,311.6,0,44.4,13,1
10:55:04,100,3589,0,978.2,0,311.6,0,44.4,13,1
10:55:06,100,3576,0,978.2,0,311.6,0,44.7,14,1
10:55:08,100,3564,0,978.2,0,311.6,0,44.8,14,1
10:55:10,100,3578,0,978.5,0,311.6,0,45.0,14,1
10:55:13,100,3584,0,978.6,0,311.6,0,45.0,14,1
10:55:15,100,3586,0,978.6,0,311.6,0,45.1,14,1
10:55:17,100,3600,0,979.4,0,311.6,0,45.2,14,1
10:55:19,100,3605,0,980.3,0,311.6,0,45.4,14,1
10:55:21,100,3607,0,980.3,0,311.6,0,45.5,14,1
10:55:23,100,3606,0,980.4,0,311.6,0,45.6,14,1
10:55:25,100,3605,0,980.9,0,311.6,0,45.6,14,1
10:55:27,100,3628,0,981.4,0,311.6,0,45.6,14,1
10:55:29,100,3618,0,982.2,0,311.6,0,45.7,14,1
10:55:31,100,3602,0,983.3,0,311.6,0,45.8,14,1
10:55:33,100,3603,0,984.9,0,311.6,0,45.8,14,1
10:55:36,100,3620,0,984.9,0,311.6,0,46.0,14,1
10:55:38,100,3611,0,984.9,0,311.6,0,46.0,14,1
10:55:40,100,3630,0,984.9,0,311.6,0,46.0,14,1
10:55:42,100,3620,0,984.9,0,311.6,0,46.1,14,1
10:55:45,100,3620,0,984.9,0,311.6,0,46.1,14,1
10:55:47,100,3621,0,985.2,0,311.6,0,46.1,14,1
10:55:49,100,3612,0,985.5,0,311.6,0,46.2,14,1
10:55:51,100,3614,0,985.5,0,311.6,0,46.3,14,1
10:55:53,100,3612,0,985.5,0,311.6,0,46.4,14,1
10:55:55,100,3621,0,985.5,0,311.6,0,46.5,14,1
10:55:57,100,3614,0,985.5,0,311.6,0,46.7,14,1
10:55:59,100,3636,0,985.5,0,311.6,0,46.8,14,1
10:56:01,100,3635,0,985.6,0,311.6,0,46.8,14,1
10:56:04,100,3633,0,985.9,0,311.6,0,46.9,14,1
10:56:06,100,3638,0,985.9,0,311.6,0,46.9,14,1
10:56:08,100,3641,0,985.9,0,311.6,0,46.9,14,1
10:56:10,100,3628,0,985.9,0,312.5,0,46.9,14,1
10:56:12,100,3629,0,985.9,0,312.5,0,46.9,14,1
10:56:14,100,3647,0,985.9,0,312.5,0,47.0,14,1
10:56:16,100,3653,0,981.7,0,312.5,0,47.0,14,1
10:56:19,100,3663,0,981.7,0,312.5,0,47.0,14,1
10:56:21,70,3811,0,981.8,0,312.5,0,47.1,14,1
10:56:23,14,3986,0,981.8,0,312.5,0,47.1,14,1
10:56:25,9,3988,0,981.8,0,312.5,0,47.1,14,1
10:56:27,7,3976,0,981.8,0,312.5,0,47.1,14,1
10:56:29,8,3973,0,981.8,0,312.5,0,47.1,14,1
10:56:31,7,3973,0,981.8,0,312.5,0,47.1,14,1
10:56:33,6,3974,0,981.8,0,312.5,0,47.1,14,1
10:56:35,6,3976,0,981.8,0,312.5,0,47.1,14,1
10:56:37,9,3977,0,981.8,0,312.5,0,47.1,14,1
10:56:39,8,3976,0,981.8,0,312.5,0,47.1,14,1
10:56:41,9,3975,0,981.8,0,312.5,0,47.1,14,1
10:56:43,8,3976,0,981.8,0,312.5,0,47.1,14,1
10:56:45,6,3976,0,981.8,0,312.5,0,47.1,14,1
10:56:47,7,3976,0,981.8,0,312.5,0,47.1,14,1
10:56:49,8,3975,0,981.8,0,312.5,0,47.1,14,1
10:56:51,8,3993,0,981.8,0,312.5,0,47.1,14,1
10:56:54,7,3985,0,981.8,0,312.5,0,47.1,14,1
10:56:56,12,3985,0,981.8,0,312.5,0,47.1,14,1
10:56:58,21,3841,0,981.8,0,312.5,0,47.1,14,1
10:57:00,46,3804,0,981.8,0,312.5,0,47.1,14,1
10:57:02,96,3822,0,981.8,0,312.5,0,47.1,14,1
